dam,capcity,year_completed_original,year_completed,age,river,province,locale,longitude,latitude,wall_height,surface
Kammanassie Dam,35870,1923,1923,94,Kammanassie River,Western Cape,De Rust,22.4169444444444,-33.6669444444444,41,3.516
Katrivier Dam,24690,1969,1969,48,Kat River,Eastern Cape,Seymour,26.7502777777778,-32.5708333333333,55,2.129
Katse Dam,1950000,1996,1996,21,Malibamat'so River,Lesotho,,28.5061111111111,-29.3369444444444,185,
Keerom Dam,"10,400[16]",1954,1954,63,Nuy River,Western Cape,Worcester,19.705,-33.5788888888889,40,
Kettingspruit Dam,70000,2006,2006,11,tributary of Ketting Spruit,Mpumalanga,,30.525,-24.1694444444444,,
Kilburn Dam,"35,577
[D]",1981,1981,36,Mnjaneni River,KZN,Bergville,29.1138888888889,-28.5836111111111,51,1.947
Klerkskraal Dam,"7,900
[N][14]",1965,1965,52,Mooi River,North West,Ventersdorp,27.1486111111111,-26.2330555555556,15,3.773
Klipberg Dam,1996,1964,1964,53,Konings River,Western Cape,McGregor,19.7891666666667,-33.9413888888889,29,
Klipdrif Dam,"13,300
[N][14]",1918,1918,99,Loop Spruit,North West,Potchefstroom,27.3002777777778,-26.6166666666667,12,4.713
Klipkoppie Dam,12256,1960,1960,57,White River,Mpumalanga,White River,31.0194444444444,-25.2169444444444,20,2.354
Klipvoor Dam,47000,1970,1970,47,Pienaars River,North West,Brits,27.8163888888889,-25.1169444444444,30,7.532
Knellpoort Dam,"130,000
",1988,1988,29,Riet Spruit,Free State,Wepener,26.8861111111111,-29.7836111111111,50,9.854
Kogelberg Dam,"19,000
[P][16]",1986,1986,31,Palmiet River,Western Cape,Grabouw,18.9752777777778,-34.2158333333333,54,1.426
Kommandodrif Dam,58114,1956,1956,61,Tarka River,Eastern Cape,Cradock,26.0525,-32.1169444444444,39,8.82
Koppies Dam,"42,300
",1911,1911,106,Renoster River,Free State,Koppies,27.6708333333333,-27.2569444444444,25,13.622
Kouga Dam (Paul Sauer Dam),"125,900
[N][7]",1969,1969,48,Kouga River,Eastern Cape,Patensie,24.5916666666667,-33.7416666666667,81,5.545
Kromfonteinlower (Wilge) Cofferdam,13000,1992,1992,25,Steenkool Spruit,Mpumalanga,Witbank,29.2583333333333,-26.0833333333333,17,0.3
Kromfontein Middle Cofferdam,18000,1990,1990,27,Steenkool Spruit,Mpumalanga,Witbank,29.2555555555556,-26.1166666666667,16,
Krugersdrift,66000,1970,1970,47,Modder River,Free State,Bloemfontein,25.9583333333333,-28.8836111111111,26,18.525
Kwaggaskloof Dam,"173,900
[N][10]",1975,1975,42,Wabooms River,Western Cape,Worcester,18.8361111111111,-32.7430555555556,18,16.876
Kwene Dam (Braam Raubenheimer Dam),"158,900
[N][11]",1987,1987,30,Crocodile River,Mpumalanga,Lydenburg,19.44,-33.7711111111111,52,12.504
Laing Dam,19860,1951,1951,66,Buffalo River,Eastern Cape,East London,27.2405555555556,-30.7113888888889,45,2.038
Lake Arthur Dam,10700,1924,1924,93,Tarka River,Eastern Cape,Cradock,27.4894444444444,-32.9663888888889,38,8.867
Lake Mzingazi Dam,37000,1942,1942,75,Mzingazi River,KZN,Richards Bay,25.8291666666667,-32.2169444444444,8,11
